horizon,model,feature,test_MSE_mean,test_MAE_mean
96,ConsensusRawRevIN,HUFL,0.7544622336147226,0.5880702193896128
96,ConsensusRawRevIN,HULL,0.2132102399728669,0.34444690666939276
96,ConsensusRawRevIN,MUFL,0.7790313314635012,0.5843228145998165
96,ConsensusRawRevIN,MULL,0.17267058357245715,0.29940529910637
96,ConsensusRawRevIN,LUFL,0.5161361659426844,0.5001072142318757
96,ConsensusRawRevIN,LULL,0.12399869505485418,0.2722316082075167
96,ConsensusRawRevIN,OT,0.05289803191139993,0.17467002883630048
96,CrossPeriodDaily,HUFL,0.7511582480835717,0.5830868121115845
96,CrossPeriodDaily,HULL,0.20922338099254473,0.3410660438509091
96,CrossPeriodDaily,MUFL,0.7762895567599075,0.579238247117216
96,CrossPeriodDaily,MULL,0.16987163345549572,0.2967385102085391
96,CrossPeriodDaily,LUFL,0.5083190407954181,0.49652424491204317
96,CrossPeriodDaily,LULL,0.12113585909063022,0.26822534978771656
96,CrossPeriodDaily,OT,0.07707194632890965,0.20513188372030422
96,DLinear,HUFL,0.7544622336147226,0.5880702193896128
96,DLinear,HULL,0.2132102399728669,0.34444690666939276
96,DLinear,MUFL,0.7790313314635012,0.5843228145998165
96,DLinear,MULL,0.17267058357245715,0.29940529910637
96,DLinear,LUFL,0.5161361659426844,0.5001072142318757
96,DLinear,LULL,0.12399869505485418,0.2722316082075167
96,DLinear,OT,0.10841850277265179,0.24789764934813735
96,LowRankDLinear,HUFL,0.7408829692857185,0.5799591877979969
96,LowRankDLinear,HULL,0.21037452709708218,0.3416582097987349
96,LowRankDLinear,MUFL,0.7662493463557005,0.5720790273398403
96,LowRankDLinear,MULL,0.1709728882936869,0.2979473597003378
96,LowRankDLinear,LUFL,0.5264790223321905,0.5075177919276617
96,LowRankDLinear,LULL,0.132444928704198,0.27809439176638484
96,LowRankDLinear,OT,0.07428413840352516,0.2037918682985785
96,RevIN-DLinear,HUFL,0.7578520725054403,0.583805254897201
96,RevIN-DLinear,HULL,0.20839730057650427,0.3421602684055687
96,RevIN-DLinear,MUFL,0.7841122906334461,0.5809338115339785
96,RevIN-DLinear,MULL,0.16962657822301686,0.299048028253779
96,RevIN-DLinear,LUFL,0.5054333936792708,0.49921407990487526
96,RevIN-DLinear,LULL,0.11944252861196214,0.26479626820292335
96,RevIN-DLinear,OT,0.05289803191139993,0.17467002883630048
