model,epoch,learning_rate,train_mse,validation_mse
DLinear,1,0.005,0.40266027890308675,0.76143745633693
DLinear,2,0.005,0.3815298116126423,0.7970063046959819
DLinear,3,0.0025,0.35338636055911227,0.7070556910494367
DLinear,4,0.00125,0.3431898043300321,0.6619676983926177
DLinear,5,0.000625,0.3372486112886578,0.6523696573369471
DLinear,6,0.0003125,0.3336901276960878,0.6641454466899419
DLinear,7,0.00015625,0.33186764410042474,0.6605694617859836
DLinear,8,7.8125e-05,0.3309890446743312,0.6488634813684903
DLinear,9,3.90625e-05,0.3304757057255751,0.6526514771229855
DLinear,10,1.953125e-05,0.33017220205672315,0.6522758533865547
PeriodAwareDLinear,1,0.005,0.40372327946154163,0.7270253661841299
PeriodAwareDLinear,2,0.005,0.36829937579044864,0.7454087247275344
PeriodAwareDLinear,3,0.0025,0.34959852153802706,0.7031032177100908
PeriodAwareDLinear,4,0.00125,0.34212699686422426,0.6559448808342451
PeriodAwareDLinear,5,0.000625,0.33684790921579544,0.6522625286558545
PeriodAwareDLinear,6,0.0003125,0.33468704330291826,0.6646897896728098
PeriodAwareDLinear,7,0.00015625,0.33319185444374716,0.6627401571411592
PeriodAwareDLinear,8,7.8125e-05,0.332550163674657,0.6510991182838474
PeriodAwareDLinear,9,3.90625e-05,0.33208687966855266,0.6548293620100835
PeriodAwareDLinear,10,1.953125e-05,0.3318809844434487,0.6544955046592518
