epoch,learning_rate,train_mse,validation_mse
1,0.005,0.39998861513714873,0.7105032079187409
2,0.005,0.3778140098242905,0.7585129455021123
3,0.0025,0.35398976344172806,0.6843052844914798
4,0.00125,0.34249000466777374,0.678441478962102
5,0.000625,0.33731273654685723,0.6542738282375787
6,0.0003125,0.33392583849712376,0.6733906522921908
7,0.00015625,0.33204856053674053,0.6540624192120367
8,7.8125e-05,0.33104313416016296,0.6536892650086034
9,3.90625e-05,0.3304418176340838,0.6510244481531159
10,1.953125e-05,0.33023826673870915,0.6521650697121592
