horizon,seed,model,validation_mse,validation_mae,test_mse,test_mae,test_rmse,best_epoch,parameters,runtime_seconds
96,2021,DLinear,0.4266056802397108,0.3050058736421065,0.1742054456261253,0.2333279504319319,0.4173792587397286,6.0,64704,95.6057237999994
96,2022,DLinear,0.4244149060113183,0.3053809393769758,0.1752084451727257,0.2367544422855929,0.4185790787566021,5.0,64704,97.6507457000007
96,2023,DLinear,0.426555752818652,0.305404814509679,0.1744986447774117,0.2345093206267527,0.4177303493611778,6.0,64704,97.11650440000084
96,2021,Dynamic multiscale V2A,0.3903990325672783,0.2890433145978889,0.1649523164336433,0.2235272152846377,0.4061432215778608,6.0,64834,139.2417394999993
96,2022,Dynamic multiscale V2A,0.388505381760805,0.2891052574530017,0.165861377083076,0.2262553535248953,0.4072608219348825,5.0,64834,138.74492310000096
96,2023,Dynamic multiscale V2A,0.3883207569462561,0.2882959756800112,0.1653943462272918,0.2249829135986679,0.406687037200956,9.0,64834,168.56222230000094
96,baseline,Seasonal naive,,,0.3167065972154737,0.2879559895256164,0.5627669119764183,,0,0.0
192,2021,DLinear,0.4832478787758026,0.3470220940656616,0.2159845209385897,0.2735035659475746,0.4647413484279075,6.0,129408,92.57042369999908
192,2022,DLinear,0.4840104516294721,0.347220483155012,0.2156932703377783,0.2727344262333777,0.4644278957360102,9.0,129408,106.43665069999952
192,2023,DLinear,0.4849992486282233,0.3473570042765317,0.2154118477123875,0.2718579618474447,0.4641248191083811,7.0,129408,103.79215320000004
192,2021,Dynamic multiscale V2A,0.4524794950500033,0.3339893106501925,0.2095408535512152,0.2672969745487102,0.4577563255174255,6.0,129538,159.29071169999952
192,2022,Dynamic multiscale V2A,0.4549727078151717,0.3339925806772236,0.2085717866524623,0.264944263234282,0.4566966024095891,9.0,129538,165.99792810000145
192,2023,Dynamic multiscale V2A,0.4549139395873253,0.3337029422757908,0.2081277962750747,0.2638684395406543,0.4562102544606759,7.0,129538,165.48120919999928
192,baseline,Seasonal naive,,,0.3425568960333542,0.3049357016563866,0.5852836030791861,,0,0.0
336,2021,DLinear,0.5471227799610019,0.3931514287151507,0.2613357667657782,0.3109127011416699,0.5112101004144756,6.0,226464,94.05578080000124
336,2022,DLinear,0.5442895155427354,0.392457903451316,0.2638454068922699,0.3168658820407716,0.5136588429028258,3.0,226464,57.03033820000019
336,2023,DLinear,0.5470187298438572,0.3934152720375217,0.2637336956307413,0.3155703500022531,0.5135500906734817,2.0,226464,47.474484200000006
336,2021,Dynamic multiscale V2A,0.5212819348566207,0.3814039296907569,0.2549154368522491,0.3039043583453268,0.5048915099823418,6.0,226594,133.4857063999989
336,2022,Dynamic multiscale V2A,0.5188616327336937,0.3809690965542991,0.2579260283333568,0.3103981070455334,0.5078641829597327,3.0,226594,90.86613550000038
336,2023,Dynamic multiscale V2A,0.5216145044039138,0.3826902521917942,0.2590582120870074,0.3118078315394752,0.5089776145244577,2.0,226594,77.50785520000136
336,baseline,Seasonal naive,,,0.382690677044622,0.330934562868213,0.6186199778899983,,0,0.0
720,2021,DLinear,0.6225800586214043,0.4414744404924192,0.324218007230976,0.3624933606451763,0.5694014464602071,4.0,485280,76.34507850000045
720,2022,DLinear,0.6213302445150504,0.4415151020552932,0.3252186384675734,0.3644116441137229,0.5702794389311028,3.0,485280,63.05947489999926
720,2023,DLinear,0.622370495942961,0.4414194754209574,0.3238969566001477,0.3620519179104923,0.5691194572320891,4.0,485280,84.05827390000013
720,2021,Dynamic multiscale V2A,0.6058055499882978,0.432398418719602,0.3190632234848637,0.3562853942475807,0.5648568167994998,9.0,485410,182.3036324000004
720,2022,Dynamic multiscale V2A,0.6057104303883195,0.433222097909542,0.3210753784567738,0.3590912047486789,0.5666351369768503,3.0,485410,98.98653339999872
720,2023,Dynamic multiscale V2A,0.6054551587729138,0.4322273886055409,0.319337849183787,0.3567355064882333,0.5650998577099334,4.0,485410,113.13715129999946
720,baseline,Seasonal naive,,,0.4431290042519442,0.3700768117302752,0.6656793554346899,,0,0.0
